RollNo,CourseNo,ColorGroup,Type,SortOrder
AE15B025,AS2080,NULL,CORE,NULL
AE15B025,AS3520,NULL,CORE,NULL
AE15B025,BT1010,NULL,CORE,NULL
AE15B025,AS3271,NULL,CORE,NULL
AE15B025,AS3050,NULL,CORE,NULL
AE15B025,AS5211,0,ELEC,1
AE15B026,AS3520,NULL,CORE,NULL
AE15B026,AS3271,NULL,CORE,NULL
AE15B026,AS3050,NULL,CORE,NULL
AE15B026,AS5212,0,ELEC,1
AE15B026,AS5540,0,ELEC,2
AE15B026,AS6060,0,ELEC,3
AE15B029,BT1010,NULL,CORE,NULL
AE15B029,AS3520,NULL,CORE,NULL
AE15B029,AS3271,NULL,CORE,NULL
AE15B029,AS3050,NULL,CORE,NULL
AE15B029,AS5212,0,ELEC,1
AE15B029,AS6010,0,ELEC,2
AE15B030,AS3271,NULL,CORE,NULL
AE15B030,AS3050,NULL,CORE,NULL
AE15B030,AS3520,NULL,CORE,NULL
AE15B030,AS5213,0,ELEC,1
AE15B030,AS5850,0,ELEC,2
AE15B030,AS5990,0,ELEC,3
AE15B031,BT1010,NULL,CORE,NULL
AE15B031,HS3050,NULL,CORE,NULL
AE15B031,AS3520,NULL,CORE,NULL
AE15B031,AS3271,NULL,CORE,NULL
AE15B031,AS3050,0,ELEC,1
AE15B031,AS5540,0,ELEC,2
AE15B031,AS5211,0,ELEC,3
AE15B032,AS3271,NULL,CORE,NULL
AE15B032,AS3050,NULL,CORE,NULL
AE15B032,BT1010,NULL,CORE,NULL
AE15B032,AS3520,NULL,CORE,NULL
AE15B032,AS5212,0,ELEC,1
AE15B032,BT3041,0,ELEC,2
AE15B033,BT1010,NULL,CORE,NULL
AE15B033,AS3520,NULL,CORE,NULL
AE15B033,AS3271,NULL,CORE,NULL
AE15B033,AS3050,NULL,CORE,NULL
AE15B033,AS5212,0,ELEC,1
AE15B033,AS6060,0,ELEC,2
AE15B034,AS2030,NULL,BACKLOG,NULL
AE15B034,AS2080,NULL,BACKLOG,NULL
AE15B034,AS2510,NULL,BACKLOG,NULL
AE15B034,AS3050,NULL,CORE,NULL
AE15B035,AS3520,NULL,CORE,NULL
AE15B035,AS3271,NULL,CORE,NULL
AE15B035,AS3050,NULL,CORE,NULL
AE15B035,AS6060,0,ELEC,1
AE15B035,AS5213,0,ELEC,2
AE15B035,AS5460,0,ELEC,3
AE15B036,BT1010,NULL,CORE,NULL
AE15B036,AS3520,NULL,CORE,NULL
AE15B036,AS3271,NULL,CORE,NULL
AE15B036,AS5540,0,ELEC,1
AE15B036,AS5212,0,ELEC,2
AE15B036,AS3050,0,ELEC,3
AE15B037,AS3520,NULL,CORE,NULL
AE15B037,AS3271,NULL,CORE,NULL
AE15B037,AS3050,0,ELEC,1
AE15B037,AS5213,0,ELEC,2
AE15B037,AS5400,0,ELEC,3
AE15B037,AS5670,0,ELEC,4
AE15B037,AS6060,0,ELEC,5
AE15B037,CS6560,0,ELEC,6
AE15B038,BT1010,NULL,CORE,NULL
AE15B038,AS3520,NULL,CORE,NULL
AE15B038,AS3271,NULL,CORE,NULL
AE15B038,AS3050,NULL,CORE,NULL
AE15B038,BT3041,0,ELEC,1
AE15B038,AS5212,0,ELEC,2
AE15B039,AS3520,NULL,CORE,NULL
AE15B039,AS3271,NULL,CORE,NULL
AE15B039,AS3050,NULL,CORE,NULL
AE15B039,AS5213,0,ELEC,1
