CourseNo,DepartmentCode,MaxOverall2rength,MinOtherBranch2rength,AllocationType,Credit,Slot,Additional Slot,
AM1100,AM,30,0,1,10,E,,
AM5199,AM,20,0,1,9,J,,
AS1300,AE,8,8,3,11,A,,
AS2030,AE,8,8,3,11,C,K,
AS2050,AE,8,8,3,11,D,L,
AS2070slotE,AE,8,8,3,10,E,,
AS2070slotF,AE,8,8,3,10,F,,
AS2080,AE,8,8,3,10,B,,
AS2510,AE,8,0,3,5,R,G,
AS3050,AE,8,8,3,12,E,LD,
AS3271,AE,8,8,3,10,F,,
AS3520,AE,8,0,3,5,P,M,
AS5211,AE,80,0,3,12,S,HD,J
AS5212,AE,80,0,3,12,S,HD,J
AS5213,AE,80,0,3,12,S,HD,J
AS5400,AE,50,8,3,9,D,,
AS5435,AE,50,8,3,9,A,,
AS5460,AE,50,8,3,9,B,,
AS5540,AE,50,8,3,9,B,,
AS5670,AE,50,8,3,9,C,,
AS5710,AE,50,8,3,9,K,,
AS5850,AE,50,8,3,9,D,,
AS5860,AE,50,8,3,9,D,,
AS5990,AE,50,8,3,9,B,,
AS6000,AE,0,0,3,9,E,,
AS6010,AE,50,8,3,9,A,,
AS6060,AE,50,8,3,9,C,,
AS6320,AE,50,8,3,9,K,,
BT1010,BT,10,10,2,9,G,,
BT1020,BT,10,10,2,11,F,YY,
BT2020,BT,10,10,2,9,B,Q,
BT2022,BT,20,20,2,10,A,,
BT2041,BT,40,20,2,11,D,P,
BT2042,BT,40,20,2,10,D,,
BT2061,BT,10,10,2,11,G,T,
BT2082,BT,40,20,2,9,E,,
BT2122,BT,40,0,2,8,R,S,
BT3020,BT,10,10,2,9,B,,
BT3022,BT,40,20,2,10,C,,
BT3040,BT,60,20,2,11,G,,
BT3041,BT,30,10,2,10,C,,
BT3110,BT,0,0,2,6,P,Q,
BT3122,BT,0,0,2,8,P,Q,
BT4230,BT,60,20,2,9,E,,
BT4240,BT,60,20,2,9,J,,
BT4260,BT,60,20,2,9,F,,
BT5041,BT,60,20,2,10,D,,
BT5240,BT,40,20,2,10,G,,
BT5320,BT,60,20,2,9,A,,
BT5330,BT,60,20,2,9,F,,
BT5390,BT,60,20,2,9,H,,
BT5410,BT,60,20,2,9,D,,
BT5440,BT,60,20,2,9,F,,
BT6310,BT,40,20,2,9,A,,
CA5370,CH,40,20,1,9,E,,
CE2020,CE,60,10,2,11,B,,
CE2060,CE,60,10,2,11,D,,
CE2330,CE,60,10,2,9,A,,
CE3020,CE,120,10,2,9,E,,
CE3040,CE,60,10,2,10,C,,
CE3050,CE,60,10,2,11,C,,
CE3100,CE,120,0,2,4,P,,
CE3241,CE,50,30,2,9,E,,
CE3330,CE,50,30,2,7,J,,
CE3420,CE,50,10,2,9,D,,
CE4010,CE,60,10,2,10,A,,
CE4011,CE,50,30,2,9,G,,
CE4310,CE,50,30,2,9,K,,
CE4640,CE,50,30,2,9,L,,
CE4901,CE,120,0,2,9,XX,,
CE5011,CE,60,10,2,9,A,,
CE5014,CE,40,10,2,9,G,,
CE5017,CE,60,30,2,9,K,,
CE5100,CE,60,10,2,6,Q,,
CE5180,CE,60,30,2,12,B,,
CE5220,CE,60,30,2,3,S,,
CE5290,CE,60,20,2,9,E,,
CE5350,CE,60,30,2,9,S,,
CE5380,CE,60,10,2,9,H,,
CE5390,CE,60,15,2,9,K,,
CE5480,CE,60,30,2,12,A,,
CE5610,CE,60,10,2,12,B,,
CE5690,CE,60,10,2,9,D,,
CE5730,CE,60,10,2,9,E,,
CE6011,CE,30,10,2,9,D,,
CE6013,CE,60,30,2,9,B,,
CE6070,CE,30,10,2,9,E,,
CE6400,CE,60,30,2,9,E,,
CE6520,CE,60,30,2,9,D,,
CE6730,CE,60,10,2,9,G,,
CE6840,CE,60,15,2,9,F,,
CE6870,CE,60,10,2,9,G,,
CH1020,CH,100,0,1,10,C,,
CH2014,CH,100,0,1,10,C,,
CH2015,CH,100,0,1,10,B,,
CH2016,CH,100,0,1,5,S,R,
CH3021,CH,100,0,1,5,S,R,
CH3050,CH,100,0,1,10,D,,
CH3052,CH,100,0,1,10,B,,
CH3521,CH,100,0,1,6,P,Q,
CH4170,CH,40,10,1,9,F,,
CH5013,CH,40,20,1,9,E,,
CH5015,CH,20,10,1,9,G,,
CH5018,CH,5,0,1,9,M,,
CH5021,CH,40,20,1,9,F,,
CH5023,CH,20,10,3,9,F,,
CH5180,CH,40,20,1,9,D,,
CH5200,CH,25,10,1,9,E,,
CH5230,CH,60,30,1,9,F,,
CH5400,CH,10,5,1,9,G,,
CH5440,CH,40,20,1,9,G,,
CH5470,CH,60,30,1,9,A,,
CH6020,CH,40,30,2,9,G,,
CH6110,CH,40,20,1,9,M,,
CS1100,CS,10,10,3,12,F,P,Q
CS1200,CS,10,10,3,10,A,,
CS2200,CS,10,10,3,10,B,,
CS2600,CS,10,10,3,10,D,,
CS2610,CS,10,10,3,6,Q,,
CS2800,CS,10,10,3,10,C,,
CS2810,CS,10,10,3,6,P,,
CS3205,CS,70,10,3,12,L,,
CS3660,CS,60,0,3,0,YY,,
CS4900,CS,60,0,3,12,XX,,
CS6046,CS,40,20,3,12,D,,
CS6100,CS,40,20,3,12,D,,
CS6170,CS,40,20,3,12,B,,
CS6210,CS,40,20,3,12,H,,
CS6330,CS,40,20,3,12,J,,
CS6350,CS,20,5,3,12,G,,
CS6370,CS,40,20,3,12,A,,
CS6464,CS,10,2,3,12,L,,
CS6530,CS,60,40,3,12,F,,
CS6560,CS,40,20,3,12,B,,
CS6700,CS,40,20,3,12,K,,
CS6730,CS,40,20,3,12,F,,
CS6790,CS,50,40,3,12,H,,
CS6841,CS,40,20,3,12,J,,
CS6843,CS,40,20,3,12,C,,
CS6847,CS,40,20,3,12,A,,
CS6852,CS,40,20,3,12,C,,
CS6868,CS,40,20,3,12,K,,
CS7012,CS,40,20,3,12,G,,
CS7015,CS,60,40,3,12,E,,
CY1001,CY,360,360,1,10,C1,,
CY1002slotP2,CY,400,400,1,3,P2,,
CY1002slotP1,CY,400,400,1,3,P1,,
CY1002slotQ1,CY,400,400,1,3,Q1,,
CY1002slotR2,CY,400,400,1,3,R2,,
CY1002slotR1,CY,400,400,1,3,R1,,
CY1050,CY,57,57,1,9,C,,
CY1051,CY,110,110,1,9,C,,
CY2010,CH,100,0,1,9,D,,
CY6108,CY,60,10,1,9,D,,
ED1011,ED,65,6,1,9,R1,,
ED1033,ED,56,0,1,6,P1,,
ED2040,ED,60,5,1,12,D,P,
ED2090,ED,65,6,1,12,C,S1,
ED3040,ED,25,20,1,3,S,,
ED4040,ED,65,5,1,15,E,Q,
ED4060,ED,65,5,1,15,B,R,
ED5013,ED,30,5,3,9,B,,
ED5015,ED,54,0,3,10,C,,
ED5017,ED,60,3,1,10,E,,
ED5020,ED,24,5,1,9,B,,
ED5060,ED,24,0,1,3,S,,
ED5070,ED,30,5,1,12,A,,
ED5220,ED,30,5,3,9,A,,
ED5260,ED,35,20,3,9,J,,
ED5318,ED,30,20,1,9,M,,
ED5511,ED,30,0,1,9,F,,
ED6004,ED,60,35,3,9,J,,
EE1100,EE,18,18,2,10,E,,
EE1101,EE,32,32,2,10,E,,
EE2001,EE,1,0,2,16,A,P,Q
EE2004,EE,16,16,2,11,D,,
EE2005,EE,1,0,2,15,B,P,Q
EE2019,EE,1,0,2,17,T,E,
EE2703,EE,15,15,2,6,S,R,
EE3001,EE,16,16,2,11,C,,
EE3007,EE,120,6,2,9,F,,
EE3020,EE,1,0,2,0,YY,,
EE3110,EE,90,0,2,12,D,,
EE3203,EE,120,6,2,12,B,,
EE3402,EE,40,0,2,11,E,,
EE4131,EE,25,0,3,9,M,,
EE4371,EE,100,0,2,9,T,,
EE5111,EE,60,6,2,12,D,,
EE5112,EE,60,6,2,12,A,,
EE5121,EE,60,6,2,12,C,,
EE5141,EE,60,6,2,12,F,,
EE5154,EE,60,6,2,12,A,,
