Student ID, Course Alloted
EE15B042,HS4006
EE15B043,HS5920
EE15B044,HS3002D
EE15B045,HS4006
EE15B046,HS3002A
EE15B047,HS5930
EE15B048,HS1090+
EE15B049,HS4002
EE15B050,HS3002
EE15B051,HS4006
EE15B052,HS4002
EE15B053,HS5930
EE15B054,HS3420A
EE15B055,HS2050
EE15B056,HS3280
EE15B057,HS1090+
EE15B058,HS1090+
EE15B059,HS3002
EE15B060,HS3002
EE15B062,HS3002A
EE15B063,HS3002C
EE15B064,HS5930
EE15B065,HS3002D
EE15B066,HS1090+
EE15B067,HS2050
EE15B068,HS3002
EE15B069,HS1090+
EE15B070,HS5920
EE15B071,HS2050
EE15B072,HS1090+
EE15B073,HS1090+
EE15B074,HS5930
EE15B075,HS3002C
EE15B076,HS1090+
EE15B077,HS5920
EE15B078,HS3002A
EE15B079,HS1090+
EE15B080,HS3002C
EE15B081,HS5920
EE15B082,HS4540
EE15B083,HS3280
EE15B084,HS3002A
EE15B085,HS2050
EE15B086,HS3280
EE15B087,HS1090+
EE15B088,HS2050
EE15B089,HS5920
EE15B090,HS5930
EE15B091,HS3002B
EE15B092,HS3002
EE15B093,HS3002C
EE15B094,HS3002B
EE15B095,HS2050
EE15B096,HS3002A
EE15B097,HS2050
EE15B098,HS3002D
EE15B099,HS3280
EE15B100,HS5930
EE15B101,HS1090+
EE15B102,HS5930
EE15B103,HS3002D
EE15B104,HS1090+
EE15B105,HS3002C
EE15B106,HS3420A
EE15B107,HS3002
EE15B108,HS3280
EE15B109,HS2050
EE15B110,HS4005
EE15B111,HS3002
EE15B112,HS5920
EE15B113,HS3002D
EE15B114,HS3002C
EE15B115,HS5930
EE15B116,HS4002
EE15B117,HS3002
EE15B118,HS4005
EE15B119,HS3002D
EE15B120,HS3002C
EE15B121,HS3002C
EE15B122,HS3002
EE15B123,HS3002
EE15B124,HS3002A
EE15B125,HS1090+
EE15B126,HS3002B
EE15B127,HS5930
EE15B128,HS3002A
EE15B129,HS3002B
EE15B130,HS3002C
EE15B131,HS5930
EE15B132,HS2050
EE15B133,HS5930
EE15B134,HS3420A
EP15B001,HS1090+
EP15B002,HS3002B
EP15B003,HS5930
EP15B004,HS3002B
EP15B005,HS5930
EP15B006,HS3002A
EP15B007,HS3002B
EP15B008,HS3002C
EP15B009,HS5930
EP15B010,HS5930
EP15B011,HS3002C
EP15B012,HS3002C
EP15B013,HS4002
EP15B014,HS4006
EP15B015,HS3002
EP15B016,HS3002A
EP15B017,HS3002B
EP15B018,HS3002A
EP15B019,HS2050
EP15B020,HS3002
EP15B021,HS3002B
EP15B023,HS2050
EP15B024,HS2050
EP15B025,HS3002B
EP15B026,HS3002B
EP15B027,HS2050
EP15B028,HS3002A
EP15B030,HS3002D
EP15B031,HS5070
MM15B001,HS3002C
MM15B002,HS3002
MM15B004,HS5930
MM15B005,HS5920
MM15B006,HS3002A
MM15B007,HS5930
MM15B008,HS3002D
MM15B009,HS3002D
MM15B010,HS5920
MM15B011,HS3002D
MM15B012,HS1090+
MM15B013,HS1090+
MM15B014,HS3002
MM15B015,HS1090+
MM15B016,HS3002
MM15B017,HS3002D
MM15B018,HS3002B
MM15B019,HS3002D
MM15B020,HS1090+
MM15B021,HS3002B
MM15B022,HS2050
MM15B023,HS3002A
MM15B024,HS3002D
MM15B025,HS3002C
MM15B026,HS3002C
MM15B029,HS5930
