Student ID,Course Alloted,Preference Number
EE15B047,MA2031,1
EE15B048,MA2031,1
EE15B049,MA2031,1
EE15B050,MA2031,1
EE15B051,MA2031,1
EE15B052,MA2130,1
EE15B053,MA2031,1
EE15B054,MA2031,1
EE15B055,MA2031,1
EE15B056,MA2010,1
EE15B057,MA2031,1
EE15B058,MA2031,1
EE15B059,MA2031,1
EE15B060,MA2031,1
EE15B062,MA2031,1
EE15B063,MA2031,1
EE15B064,MA2031,1
EE15B065,MA2031,1
EE15B066,MA2031,1
EE15B067,MA2031,1
EE15B068,MA2031,1
EE15B069,MA2040,1
EE15B070,MA2040,1
EE15B071,MA2031,1
EE15B072,MA2031,1
EE15B073,MA2031,1
EE15B074,MA2010,1
EE15B075,MA2031,1
EE15B076,MA2031,1
EE15B077,MA2031,1
EE15B078,MA2031,1
EE15B079,MA2031,1
EE15B080,MA2031,1
EE15B081,MA2031,1
EE15B082,MA2010,1
EE15B083,MA2010,1
EE15B084,MA2031,1
EE15B085,MA2040,1
EE15B086,MA2010,1
EE15B087,MA2031,1
EE15B088,MA2040,1
EE15B089,MA2040,1
EE15B090,MA2040,1
EE15B091,MA2031,1
EE15B092,MA2010,1
EE15B093,MA2031,1
EE15B094,MA2031,1
EE15B095,MA2031,1
EE15B096,MA2031,1
EE15B097,MA2031,1
EE15B098,MA2040,1
EE15B099,MA2031,1
EE15B100,MA2040,1
EE15B101,MA2020,1
EE15B102,MA2040,1
EE15B103,MA2040,1
EE15B104,MA2031,1
EE15B105,MA2130,1
EE15B106,MA2031,1
EE15B107,MA2031,1
EE15B108,MA2040,1
EE15B109,MA2031,1
EE15B110,MA2020,1
EE15B111,MA2031,1
EE15B112,MA2020,1
EE15B113,MA2040,1
EE15B114,MA2040,1
EE15B115,MA2040,1
EE15B116,MA2031,1
EE15B117,MA2010,1
EE15B118,MA2031,1
EE15B119,MA2031,1
EE15B120,MA2031,1
EE15B121,MA2020,1
EE15B122,MA2031,1
EE15B123,MA2031,1
EE15B124,MA2031,1
EE15B125,MA2031,1
EE15B126,MA2031,1
EE15B127,MA2031,1
EE15B128,MA2031,1
EE15B129,MA2031,1
EE15B130,MA2031,1
EE15B131,MA2031,1
EE15B132,MA2130,1
EE15B133,MA2031,1
EE15B134,MA2031,1
EP15B001,MA2040,1
EP15B002,MA2010,1
EP15B003,MA2010,1
EP15B004,MA2040,1
EP15B005,MA2040,1
EP15B006,MA2040,1
EP15B007,MA2040,1
EP15B008,MA2040,1
EP15B009,MA2040,1
EP15B010,MA2040,1
EP15B011,MA2040,1
EP15B012,MA2040,1
EP15B013,MA2031,1
EP15B014,MA2040,1
EP15B015,MA2040,1
EP15B016,MA2040,1
EP15B017,MA2040,1
EP15B018,MA2020,1
EP15B019,MA2040,1
EP15B020,MA2010,1
EP15B021,MA2010,1
EP15B023,MA2020,1
EP15B024,MA2040,1
EP15B025,MA2040,1
EP15B026,MA2040,1
EP15B027,MA2040,1
EP15B028,MA2010,1
EP15B030,MA2040,1
EP15B031,MA2040,1
MM15B001,MA2020,1
MM15B002,MA2020,1
MM15B004,PH2170,1
MM15B005,PH2170,1
MM15B006,MA2020,1
MM15B008,MA2020,1
MM15B009,MA2040,1
MM15B010,MA2020,1
MM15B011,MA2020,1
MM15B012,MA2020,1
MM15B013,MA2020,1
MM15B014,MA2020,1
MM15B015,MA2020,1
MM15B017,MA2020,1
MM15B018,MA2130,1
MM15B019,MA2020,1
MM15B020,MA2020,1
MM15B021,MA2020,1
MM15B022,MA2020,1
MM15B023,MA2020,1
MM15B024,MA2020,1
MM15B025,MA2020,1
MM15B026,MA2020,1
MM15B029,MA2020,1
MM15B030,PH2170,1
MM15B031,MA2020,1
MM15B032,MA2040,1
MM15B034,MA2020,1
MM15B035,MA2020,1
MM15B036,MA2020,1
MM15B039,MA2020,1
MM15B040,MA2020,1
MM15B041,MA2020,1
MM15B043,MA2020,1
MM15B044,MA2020,1
MM15B046,MA2020,1
MM15B047,MA2020,1
MM15B048,MA2020,1
NA15B001,MA2040,1
NA15B002,MA2020,1
NA15B003,MA2020,1
NA15B004,MA2020,1
NA15B005,MA2020,1
NA15B006,MA2020,1
NA15B007,MA2040,1
NA15B008,MA2040,1
NA15B010,MA2040,1
NA15B011,MA2020,1
NA15B012,MA2031,1
NA15B013,MA2020,1
NA15B014,MA2020,1
NA15B016,MA2020,1
NA15B017,MA2020,1
NA15B018,MA2020,1
NA15B019,MA2040,1
NA15B020,MA2020,1
NA15B022,MA2020,1
NA15B023,MA2020,1
NA15B024,MA2130,1
NA15B025,MA2020,1
NA15B028,MA2020,1
NA15B029,MA2040,1
NA15B030,MA2040,1
NA15B031,MA2040,1
NA15B032,MA2031,1
NA15B033,MA2020,1
NA15B034,MA2020,1
NA15B036,MA2020,1
NA15B039,MA2020,1
NA15B041,MA2020,1
NA15B042,MA2020,1
NA15B043,MA2031,1
NA15B044,MA2020,1
NA15B046,MA2020,1
NA15B047,MA2020,1
NA15B048,MA2031,1
NA15B049,MA2040,1
PH15B001,MA2020,1
PH15B005,MA2020,1
PH15B006,MA2020,1
PH15B007,MA2020,1
PH15B008,MA2020,1
PH15B009,MA2020,1
