Course ID, Total Capacity, Allotted Capacity, Students Allotted
ED2130$inside,8,5,ED16B008,ED16B043,ED16B048,ED16B051,ED16B059
ED2130$outside,5,0
ED2140$inside,55,0
ED2140$outside,5,0
ED3010$inside,55,0
ED3010$outside,5,0
ED3153$inside,10,9,ED15B004,ED15B008,ED15B009,ED15B021,ED15B028,ED15B029,ED15B033,ED15B043,ED15B050
ED3153$outside,4,0
ED5016$inside,32,3,ED15B026,ED15B032,ED15B047
ED5016$outside,5,0
ED5040$inside,13,0
ED5040$outside,5,0
ED5053$inside,25,0
ED5053$outside,0,0
ED5160$inside,45,0
ED5160$outside,5,0
ED5312$inside,25,0
ED5312$outside,5,0
ED5314$inside,0,0
ED5314$outside,15,0
ED5315$inside,35,0
ED5315$outside,5,1,NA15B042
ED5317$inside,34,0
ED5317$outside,5,0
ED5319$inside,25,0
ED5319$outside,5,0
ED5321$inside,25,0
ED5321$outside,5,0
ED5330$inside,25,0
ED5330$outside,5,0
ED6001$inside,25,0
ED6001$outside,5,0
EE1100$inside,0,0
EE1100$outside,6,0
EE2003$inside,48,13,EE15B011,EE15B024,EE15B046,EE15B055,EE15B065,EE15B066,EE15B074,EE15B103,EE15B107,EE15B108,EE15B110,EE15B113,EE15B130
EE2003$outside,5,1,EP15B027
EE2015$inside,0,0
EE2015$outside,16,1,CS16B013
EE2016$inside,0,0
EE2016$outside,6,3,EP15B014,EP15B023,EP15B025
EE2025$inside,0,0
EE2025$outside,7,0
EE3002$inside,79,8,EE15B006,EE15B017,EE15B027,EE15B044,EE15B049,EE15B073,EE15B092,EE15B122
EE3002$outside,5,1,EP15B026
EE3003$inside,110,0
EE3003$outside,6,0
EE3004$inside,0,0
EE3004$outside,2,1,EP15B016
EE3005$inside,37,29,EE15B003,EE15B005,EE15B009,EE15B010,EE15B017,EE15B022,EE15B028,EE15B036,EE15B037,EE15B038,EE15B045,EE15B047,EE15B051,EE15B062,EE15B063,EE15B067,EE15B068,EE15B073,EE15B080,EE15B081,EE15B083,EE15B085,EE15B087,EE15B093,EE15B098,EE15B103,EE15B104,EE15B127,EE15B132
EE3005$outside,6,0
EE3301$inside,0,0
EE3301$outside,22,4,ME15B049,ME15B105,ME15B130,MM15B030
EE3313$inside,112,6,EE15B012,EE15B039,EE15B057,EE15B070,EE15B073,EE15B101
EE3313$outside,6,0
HS1090+$inside,0,0
HS1090+$outside,0,0
HS2030$inside,0,0
HS2030$outside,5,5,BE16B016,BE16B022,BE16B035,BS16B004,MM15B008
HS3002$inside,0,0
HS3002$outside,0,0
HS3002A$inside,0,0
HS3002A$outside,0,0
HS3002B$inside,0,0
HS3002B$outside,0,0
HS3002C$inside,0,0
HS3002C$outside,0,0
HS3060$inside,0,0
HS3060$outside,44,17,AE16B017,AE16B034,BE16B007,BE16B008,BE16B014,CH15B057,CH16B030,CH16B047,EE16B109,EE16B131,EP16B005,EP16B023,MM16B013,NA16B031,NA16B037,NA16B102,NA16B108
HS4002$inside,0,0
HS4002$outside,31,15,BS16B019,CH16B037,CS16B111,EE16B002,EE16B070,EE16B073,EE16B111,EE16B138,MM16B008,MM16B025,NA16B027,NA16B028,NA16B104,NA16B115,PH16B011
HS4005$inside,0,0
HS4005$outside,45,6,CE15B064,CH16B006,CH16B068,CH16B101,EE16B040,EE16B101
HS4006$inside,0,0
HS4006$outside,0,0
HS4210$inside,0,0
HS4210$outside,44,14,AE15B042,CH16B044,CH16B048,CS16B008,CS16B010,CS16B026,CS16B039,CS16B047,EE16B020,EE16B108,MM15B015,MM16B003,MM16B111,PH16B010
HS4350$inside,0,0
HS4350$outside,35,35,BE16B003,BE16B029,BS16B010,CH16B011,CH16B038,CH16B058,CH16B059,CH16B064,CH16B103,CH16B110,CH16B113,CH16B115,CH16B117,CS16B006,EE16B034,EE16B036,EE16B042,EE16B102,EE16B105,EE16B107,EE16B121,EE16B144,EP15B011,EP16B009,EP16B014,EP16B025,MM15B001,MM16B009,MM16B017,MM16B020,MM16B028,MM16B029,MM16B112,NA16B110,NA16B117
HS4571$inside,0,0
HS4571$outside,28,26,AE15B025,AE16B025,AE16B112,BE16B017,CH15B054,CH16B001,CH16B029,CH16B033,CH16B042,CH16B053,CH16B060,CH16B069,CH16B114,EE16B063,EE16B125,EP15B006,EP16B011,EP16B012,EP16B024,EP16B026,ME16B077,MM15B018,MM16B107,NA15B006,NA16B014,PH16B004
HS5920$inside,0,0
HS5920$outside,1,1,CH16B036
MA2010$inside,111,0
MA2010$outside,70,3,CH16B010,EE15B029,EE16B010
MA2020$inside,0,0
MA2020$outside,21,21,BE16B001,BE16B034,CE16B015,CE16B017,CE16B018,CE16B031,CE16B059,CH16B006,CH16B013,CH16B033,CH16B045,CH16B052,MM16B027,MM16B031,NA16B017,NA16B018,NA16B025,NA16B028,NA16B031,NA16B112,PH16B011
MA2031$inside,0,0
MA2031$outside,2,2,AE15B034,EE16B149
MA2040$inside,0,0
MA2040$outside,70,57,AE15B021,AE15B032,CE16B024,CE16B032,CE16B047,CE16B061,CH16B021,CH16B023,CH16B048,CH16B062,EE15B002,EE15B008,EE15B014,EE15B015,EE15B016,EE15B017,EE15B018,EE15B020,EE15B021,EE15B030,EE15B031,EE15B033,EE15B035,EE15B037,EE15B038,EE15B041,EE15B042,EE15B043,EE15B048,EE15B049,EE15B050,EE15B053,EE15B054,EE15B055,EE15B060,EE15B064,EE15B068,EE15B072,EE15B075,EE15B076,EE15B078,EE15B079,EE15B086,EE15B094,EE15B096,EE15B097,EE15B116,EE15B117,EE15B118,EE15B122,EE15B126,EE15B128,EE15B133,EE15B134,EE16B103,EE16B137,EE16B145
MA2130$inside,61,0
MA2130$outside,7,2,CH16B037,EE16B014
ME3310$inside,28,0
ME3310$outside,0,0
ME4003$inside,42,0
ME4003$outside,8,0
ME4290$inside,15,0
ME4290$outside,10,2,ED15B027,ED15B035
ID6021$inside,0,0
ID6021$outside,29,0
MM2015$inside,24,0
MM2015$outside,28,0
MM2080$inside,10,0
MM2080$outside,30,0
MM3012$inside,0,0
MM3012$outside,11,3,MM15B039,MM15B040,MM15B048
MM3090$inside,30,0
MM3090$outside,30,0
MM5003$inside,0,0
MM5003$outside,27,0
MM5010$inside,0,0
MM5010$outside,25,0
MM5021$inside,10,0
MM5021$outside,30,1,ME15B031
MM5023$inside,0,0
MM5023$outside,30,0
MM5040$inside,0,0
MM5040$outside,28,3,ME15B146,ME15B162,MM15B002
MM5700$inside,40,0
MM5700$outside,29,0
MM6020$inside,0,0
MM6020$outside,25,0
MT4030$inside,0,0
MT4030$outside,25,0
MS3510#$inside,0,0
MS3510#$outside,33,12,AE15B001,CS16B109,CS16B111,EE15B104,EE15B116,ME15B010,ME15B088,ME15B119,ME15B137,ME15B139,ME15B153,MM15B032
MS3510+$inside,0,0
MS3510+$outside,60,2,ME15B102,MM15B026
MS3610$inside,0,0
MS3610$outside,20,14,CH15B074,EP15B005,ME15B037,ME15B051,ME15B056,ME15B057,ME15B069,ME15B091,ME15B114,MM15B001,NA15B007,NA15B008,NA15B010,NA15B013
MS5100$inside,0,0
MS5100$outside,70,0
OE3045$inside,60,0
OE3045$outside,0,0
OE3190$inside,32,21,NA15B001,NA15B002,NA15B003,NA15B005,NA15B011,NA15B012,NA15B014,NA15B017,NA15B018,NA15B019,NA15B021,NA15B023,NA15B028,NA15B029,NA15B033,NA15B036,NA15B039,NA15B041,NA15B042,NA15B044,NA15B046
OE3190$outside,0,0
EP2102$inside,0,0
EP2102$outside,10,0
EP2110$inside,0,0
EP2110$outside,9,0
ID6030$inside,0,0
ID6030$outside,36,1,EP15B009
PH2170$inside,0,0
PH2170$outside,13,2,ME15B027,MM15B048
PH5110$inside,18,0
PH5110$outside,4,0
PH6022$inside,7,1,EP15B005
PH6022$outside,6,0
AM1100$inside,0,0
AM1100$outside,0,0
AM2200$inside,0,0
AM2200$outside,0,0
