courseno,Department,MaxOverall2rength,MinOtherBranch2rength,RankingCriteria,Credits,slot,AdditionalSlot
OE3025,OE,60,0,1,10,A,
OE3035,OE,60,0,1,11,C,
PH1010a,PH,0,0,1,10,D2,G2
PH1010b,PH,0,0,1,10,D1,G1
PH1020,PH,0,0,1,10,G,
PH1030,PH,0,0,1,4,R1,
PH2050,PH,0,0,1,9,S,R
PH2140,PH,0,0,1,9,P,
PH5030,PH,0,0,1,10,D,
PH5040,PH,0,0,1,9,F,
PH5050,PH,5,5,1,9,C,
PH5060,PH,0,0,1,12,T,P,Q
PH5100,PH,0,0,1,10,A,
