Rollno,CGPA,Max Credits
CE15B028,6.57,63
CE15B029,8.75,63
CE15B030,5.45,63
CE15B031,6.33,63
CE15B032,8.13,63
CE15B033,8.67,63
CE15B034,6.61,63
CE15B035,8.94,63
CE15B036,3.78,63
CE15B037,7.24,63
CE15B038,2.54,63
CE15B039,1.11,63
CE15B040,4.36,63
CE15B041,8.81,63
CE15B042,7.79,63
CE15B043,7.29,63
CE15B044,8.3,63
CE15B045,0.98,63
CE15B046,5.67,63
CE15B047,5.8,63
CE15B048,7.8,63
CE15B049,7.89,63
CE15B050,6.4,63
CE15B051,9.22,72
CE15B052,8.31,63
CE15B053,9.34,72
CE15B054,5.71,63
CE15B055,7.22,63
CE15B056,6.69,63
CE15B057,7.14,63
CE15B058,2,63
CE15B059,8.47,63
CE15B060,8.13,63
CE15B061,0.1,63
CE15B062,8.54,63
CE15B063,8.03,63
CE15B064,7.21,63
CE15B065,6.75,63
CE15B066,6.46,63
CE15B067,7.74,63
CE15B068,7.4,63
CE15B069,7.67,63
CE15B070,7.96,63
CE15B071,5.35,63
CE15B072,8.69,63
CE15B073,6.57,63
CE15B074,6.83,63
CE15B075,7.63,63
CE15B076,6.22,63
CE15B077,6.26,63
CE15B078,6.07,63
CE15B079,8.2,63
CE15B080,2.24,63
CE15B082,7.32,63
CE15B083,9.78,63
CE15B084,9.08,63
CE15B085,8.72,72
CE15B086,7.51,63
CE15B087,7.54,63
CE15B088,6.44,63
CE15B089,8.11,63
CE15B090,9.65,63
CE15B091,8.37,63
CE15B092,6.71,63
CE15B093,6.54,63
CE15B094,7.15,63
CE15B095,6.72,63
CE15B096,7.83,63
CE15B097,9.35,63
CE15B099,5.35,63
CE15B100,8.58,72
CE15B101,8.25,63
CE15B102,7.3,63
CE15B103,7.73,63
CE15B104,6.35,63
CE15B105,5.85,63
CE16B001,6.4,63
CE16B002,2.81,63
CE16B003,5.37,63
CE16B005,5.31,63
CE16B006,7.12,63
CE16B007,5.58,63
CE16B008,4.39,63
CE16B009,3.34,63
CE16B010,7.6,63
CE16B011,8.59,63
CE16B012,8.11,63
CE16B013,7.2,63
CE16B014,6.46,63
CE16B015,7.39,63
CE16B016,8.78,63
CE16B017,7.8,63
CE16B018,6.8,63
CE16B019,7.93,63
CE16B020,7.63,63
CE16B021,5.64,63
CE16B022,6.82,63
CE16B023,5.84,63
CE16B024,6.55,63
CE16B025,8.23,63
CE16B026,6.27,63
CE16B027,5.65,63
CE16B028,7.58,63
CE16B030,8.92,63
CE16B031,4.1,63
CE16B032,6.84,63
CE16B033,8.79,63
CE16B034,8.92,63
CE16B035,5.35,63
CE16B036,6.82,63
CE16B037,6.93,63
CE16B038,5.16,63
CE16B039,7.77,63
CE16B040,6.6,63
CE16B041,7.72,63
CE16B042,5.54,63
CE16B043,7.06,63
CE16B044,7.26,63
CE16B045,6.32,63
CE16B046,7.78,63
CE16B047,5.82,63
CE16B048,4.92,63
CE16B049,6.68,63
CE16B050,7.28,63
CE16B051,8.46,63
CE16B052,7.99,63
CE16B053,8.1,63
CE16B054,8.32,63
CE16B055,6.61,63
CE16B056,4.87,63
CE16B057,4.84,63
CE16B058,6.34,63
CE16B059,8.83,63
CE16B060,8.02,63
CE16B061,6.06,63
CE16B062,7.78,63
CE16B063,4.44,63
CE16B064,7.36,63
CE16B065,8.79,63
CE16B101,9.04,63
CE16B102,5.29,63
CE16B103,6.7,63
CE16B104,6.19,63
CE16B105,7.94,63
CE16B106,5.34,63
CE16B107,7.24,63
CE16B108,7.75,63
CE16B109,6.65,63
CE16B110,7.05,63
CE16B111,5.45,63
CE16B112,3.12,63
CE16B113,7.43,63
CE16B114,7.28,63
CE16B115,6.84,63
CE16B116,8.39,63
CE16B117,9.16,63
CE16B118,7.3,63
CE16B119,4.75,63
CE16B120,7.7,63
CE16B121,7.56,63
CE16B122,8.73,63
CE16B123,5.95,63
CE16B124,8.04,63
CE16B125,6.6,63
CE16B126,5.86,63
CE16B127,6.83,63
CE16B128,7.17,63
CE16B129,6.51,63
CE16B130,3.04,63
CE16B131,7.21,63
CE16B132,9.08,63
CE16B133,6.02,63
CE16B134,6.64,63
CE16B135,7.92,63
CE16B136,8.58,63
CE16B137,7.96,63
CH15B001,7.53,63
CH15B002,6.43,63
CH15B003,8.47,63
CH15B004,8.33,63
CH15B005,7.32,63
CH15B006,8.57,72
CH15B007,5.02,63
CH15B008,7.1,63
CH15B009,7.46,63
CH15B010,8.17,63
CH15B011,7.61,63
CH15B012,7.96,63
CH15B013,5.04,63
CH15B014,8.24,63
CH15B015,9.32,63
CH15B016,9.05,72
