CourseNo,DepartmentCode,MaxOverall2rength,MinOtherBranch2rength,AllocationType,Credit,Slot,Additional Slot,
CH2010,CH,100,5,1,10,C,
CH2012,CH,10,5,1,10,D,
CH2013,CH,190,10,1,5,R,S,
CH2061,CH,10,5,1,10,B,
CH3010,CH,10,5,1,10,A,
CH3030,CH,10,5,1,10,C,
CH3150,CH,10,5,1,9,F,
CH3170,CH,15,5,1,9,D,
CH3510,CH,0,0,1,5,R,S
CH3520,CH,0,0,1,5,P,Q
CH4010,CH,100,5,1,10,B,
CH4030slotR,CH,100,0,1,5,R,,
CH4030slotS,CH,100,0,1,5,S,,
CH4050slotP,CH,100,0,1,10,P,,
CH4050slotQ,CH,100,0,1,10,Q,,
CH4530,CH,100,0,1,9,XX,
CH4960,CH,40,20,1,9,G,
CH5011,CH,45,30,1,9,F,
CH5014,CH,20,10,1,9,F,
CH5016,CH,10,5,1,9,M,
CH5020,CH,10,5,3,9,F,
CH5025,CH,10,5,1,9,G,
CH5080,CH,10,5,1,9,D,
CH5120,CH,10,5,1,9,E,
CH5130,CH,30,20,1,9,E,
CH5170,CH,20,10,1,9,G,
CH5190,CH,10,5,1,9,G,
CH5240,CH,40,20,1,9,E,
CH5350,CH,190,150,1,9,F,
CH5370,CH,25,5,3,9,E,
CH6060,CH,20,10,1,9,H,
CH6760,CH,10,0,3,9,E,
CS1100,CS,0,0,3,12,F,R2,T1,
CS2300,CS,0,0,3,9,D,
CS2310,CS,0,0,3,4,T,
CS2700,CS,0,0,3,10,C,
CS2710,CS,0,0,3,6,P,
CS3100,CS,10,10,3,9,C,
CS3300,CS,10,10,3,15,B,T,
CS3500,CS,10,10,3,15,D,P,
CS3700,CS,66,6,3,12,A,
CS4900,CS,60,0,3,12,XX,
CS4910,CS,30,0,3,12,YY,
CS5020,CS,30,10,3,12,E,
CS5691,CS,30,0,3,15,G,
CS6014,CS,50,10,3,12,A,
CS6023,CS,60,20,3,12,G,
CS6024,CS,80,40,3,12,F,
CS6100,CS,50,20,3,12,J,
CS6120,CS,10,0,3,12,L,
CS6230,CS,40,10,3,12,J,
CS6251,CS,40,10,3,12,F,
CS6360,CS,17,5,3,12,L,
CS6570,CS,40,10,3,12,E,
CS6600,CS,30,10,3,12,F,
CS6700,CS,40,10,3,12,J,
CS7011,CS,15,5,3,12,H,
CS7015,CS,40,10,3,12,A,
CS7111,CS,45,30,3,12,K,
CY1001,CY,350,50,1,10,C1,
CY1002slotP1,CY,350,50,1,3,P1,
CY1002slotP2,CY,350,50,1,3,P2,
CY1002slotQ1,CY,350,50,1,3,Q1,
CY1002slotQ2,CY,350,50,1,3,Q2,
CY1002slotR1,CY,350,50,1,3,R1,
CY1002slotR2,CY,350,50,1,3,R2,
ED1021,ED,65,5,1,9,A,P1,
ED1031,ED,65,5,1,9,Q1,
ED1034,ED,65,5,1,6,F,R,
ED1090,ED,30,5,1,9,P1,
ED1091,ED,35,5,1,9,P1,
ED2011,ED,70,10,1,15,C,P,
ED2012,ED,65,5,1,6,D,
ED2130,ED,65,5,1,13,B,Q,
ED2141,ED,130,10,1,9,E,
ED3010,ED,65,5,1,9,C,
ED5011,ED,35,5,1,9,C,
ED5016,ED,45,5,1,9,J,
ED5040,ED,25,5,1,12,B,
ED5050,ED,55,5,1,12,C,
ED5052,ED,65,5,1,10,E,P,
ED5053,ED,35,5,1,9,G,
ED5080,ED,130,10,1,9,A,R,
ED5160,ED,35,5,1,15,D,Q,
ED5200,ED,35,5,1,0,YY,
ED5312,ED,35,5,1,9,F,
ED5314,ED,50,15,1,9,K,
ED5315,ED,45,5,1,9,F,
ED5317,ED,45,5,1,9,M,
ED5330,ED,35,5,1,9,G,
ED5800,ED,60,0,1,2,WW,
ED6001,ED,35,5,1,9,B,
ED6002,ED,40,20,1,9,E,
ED6006,ED,40,25,1,9,M,
EE1100,EE,1,0,2,10,E,
EE1102,EE,1,0,2,12,F,Q1,S1
EE1103,EE,40,0,2,12,F,Q1,S1
EE2003,EE,90,0,2,12,B,
EE2015,EE,5,5,2,11,C,T,
EE2016,EE,5,5,2,12,B,Q,S
EE2025,EE,10,0,2,10,D,
EE3002,EE,90,0,2,10,E,
EE3003,EE,90,0,2,10,A,
EE3004,EE,5,5,2,11,D,
EE3005,EE,90,0,2,10,C,
EE3006slotP,EE,1,0,2,8,F,P,
EE3006slotR,EE,1,0,2,8,F,R,
EE3301,EE,60,60,2,9,G,
EE3313,EE,90,0,2,10,A,
EE4140,EE,60,0,2,10,B,
EE4371,EE,60,0,2,9,T,
EE4502,EE,15,0,2,12,D,R,
EE4708,EE,35,0,2,6,R,
EE5011,EE,20,20,2,12,E,P,
EE5120,EE,18,5,2,12,J,
EE5142,EE,20,0,2,12,H,
EE5150,EE,40,0,2,12,C,
EE5200,EE,20,0,2,9,E,
EE5201,EE,20,0,2,9,G,
EE5204,EE,20,10,2,9,C,
EE5253,EE,20,10,2,9,F,
EE5311,EE,40,0,2,12,G,
EE5312,EE,20,0,2,12,B,
EE5325,EE,20,0,2,12,F,
EE5345,EE,20,0,2,9,C,
EE5346,EE,20,0,2,9,E,
EE5410,EE,10,0,2,12,D,
EE5411,EE,30,0,2,12,A,
EE5413,EE,20,10,2,12,C,
EE6132,EE,10,0,2,9,B,
EE6324,EE,20,0,2,12,D,
EE6341,EE,20,0,2,12,F,
EP2090,PH,0,0,1,4,P,
EP2100,PH,25,10,1,9,E,
EP2102,PH,0,0,1,9,G,
EP2110,PH,10,10,1,10,B,
EP2210,PH,0,0,1,9,D,
EP3120,PH,0,0,1,9,C,
EP3200,EE,30,0,2,10,E,
EP3290,PH,0,0,1,6,Q,
EP4040,PH,0,0,1,1,YY,
EP4140,PH,0,0,1,3,XX,
GN1101,AM,0,0,3,0,T1,
GN5001,CE,50,50,3,9,Q,
GN6101,AM,300,300,3,9,NC,
